permalink,name,homepage_url,category_code,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,founded_month,founded_quarter,founded_year,first_funding_at,last_funding_at,last_milestone_at,id
"/company/abide-therapeutics",Abide Therapeutics,http://abidetx.com,biotech,2250180.0,operating,USA,NJ,Princeton,Princeton,1.0,1/1/11," 2011-01 ",2011-Q1,2011.0,11/18/11,11/18/11,,268
"/company/ability-dynamics",Ability Dynamics,http://www.abilitydynamics.com,medical,1500000.0,operating,USA,AZ,Phoenix,Tempe,1.0,1/1/09," 2009-01 ",2009-Q1,2009.0,2/20/12,2/20/12,,269
"/company/ability-network",ABILITY Network,http://www.abilitynetwork.com,medical,3.3E7,operating,USA,MN,Minneapolis,Minneapolis,3.0,1/1/00," 2000-01 ",2000-Q1,2000.0,12/14/06,5/17/11,,270
"/company/abilto",AbilTo,http://www.abilto.com,web,3000000.0,operating,USA,NY,New York,New York,1.0,1/1/08," 2008-01 ",2008-Q1,2008.0,5/14/13,5/14/13,,271
"/company/abine",Abine,http://www.abine.com,web,6467283.0,operating,USA,MA,Boston,Boston,1.0,1/1/08," 2008-01 ",2008-Q1,2008.0,7/12/11,7/12/11,3/18/13,272
"/company/abingdon-health",Abingdon Health,http://www.abingdon-health.com,medical,4768678.0,operating,GBR,,London,Oxford,1.0,1/1/08," 2008-01 ",2008-Q1,2008.0,3/26/12,3/26/12,8/1/13,273
"/company/abiquo-group",Abiquo Group,http://www.abiquo.com,software,1.3130737E7,operating,USA,CA,SF Bay,Redwood City,3.0,1/1/10," 2010-01 ",2010-Q1,2010.0,12/9/10,4/10/13,,274
"/company/abizinabox",aBIZinaBOX,http://abizinabox.com,consulting,500000.0,operating,USA,IL,Chicago,Evanston,1.0,8/17/98," 1998-08 ",1998-Q3,1998.0,10/8/08,10/8/08,8/17/98,275
"/company/ablative-solutions",Ablative Solutions,http://ablativesolutions.com,biotech,2.5930577E7,operating,USA,NJ,Fair Haven,Fair Haven,5.0,1/1/11," 2011-01 ",2011-Q1,2011.0,1/4/12,2/4/14,,276
"/company/able-imaging",Able Imaging,http://www.ableimaging.com,health,500000.0,operating,USA,NJ,Philadelphia,Cherry Hill,1.0,,,,,3/7/11,3/7/11,,277
"/company/able-planet",Able Planet,http://www.ableplanet.com,hardware,1.2005448E7,operating,USA,CO,Denver,Wheat Ridge,5.0,1/1/05," 2005-01 ",2005-Q1,2005.0,8/17/09,2/1/12,,278
"/company/ablesky",AbleSky,http://ablesky.com,software,1273000.0,operating,USA,CA,SF Bay,Mountain View,1.0,1/1/07," 2007-01 ",2007-Q1,2007.0,6/29/11,6/29/11,,279
"/company/ablexis",Ablexis,http://www.ablexis.com,biotech,1.2E7,operating,,,unknown,,1.0,1/1/09," 2009-01 ",2009-Q1,2009.0,6/4/10,6/4/10,,280
"/company/ablynx",Ablynx,http://www.ablynx.com,biotech,4.135635E7,ipo,BEL,,Ghent/Zwijnaarde,Ghent/Zwijnaarde,1.0,1/1/01," 2001-01 ",2001-Q1,2001.0,2/28/13,2/28/13,10/1/13,281
"/company/abodo",Abodo,http://abodo.com,real_estate,325000.0,operating,USA,WI,Madison,Madison,1.0,1/3/11," 2011-01 ",2011-Q1,2011.0,8/26/13,8/26/13,,282
"/company/abound-logic",Abound Logic,http://www.aboundlogic.com,,3705137.0,operating,USA,CA,SF Bay,Santa Clara,1.0,1/1/93," 1993-01 ",1993-Q1,1993.0,1/15/09,1/15/09,,283
"/company/abound-solar",Abound Solar,http://www.abound.com,cleantech,5.1E8,closed,USA,CO,Loveland,Loveland,2.0,1/1/07," 2007-01 ",2007-Q1,2007.0,7/6/10,12/15/10,11/1/11,284
"/company/aboutme",about.me,http://about.me,web,5675000.0,acquired,USA,CA,SF Bay,San Francisco,1.0,2/5/13," 2013-02 ",2013-Q1,2013.0,2/5/13,2/5/13,1/1/13,285
