ID,Location,Track,Week,Rating (Num),Schedule Pacing,Year
1214,Tokyo,Apps,2,10,3,2017
1215,Tokyo,Apps,2,7,4,2017
1216,Tokyo,Apps,2,8,4,2017
1217,Tokyo,Apps,2,6,3,2017
1218,Tokyo,Apps,2,9,3,2017
1219,Tokyo,Apps,2,10,3,2017
1220,Tokyo,Apps,2,7,3,2017
1221,Tokyo,Apps,2,10,3,2017
1222,Tokyo,Apps,2,9,4,2017
1223,Tokyo,Apps,2,3,4,2017
1224,,,2,7,4,2017
1225,Tokyo,Apps,2,6,4,2017
1226,Tokyo,Apps,2,9,3,2017
1227,Tokyo,Apps,2,10,3,2017
1228,Tokyo,Apps,2,10,3,2017
1229,Tokyo,Apps,2,10,2,2017
1230,Tokyo,Apps,2,8,4,2017
1231,Tokyo,Apps,2,7,4,2017
1232,Tokyo,Apps,2,10,3,2017
1233,,,2,10,5,2017
1234,Tokyo,Apps,2,7,3,2017
1235,,,3,10,3,2017
1236,Tokyo,Apps,2,8,4,2017
1237,Tokyo,Apps,2,7,3,2017
1238,Tokyo,Apps,2,8,4,2017
1239,Tokyo,Apps,2,10,4,2017
1240,Tokyo,Apps,2,7,5,2017
1241,Tokyo,Apps,2,5,3,2017
1242,Tokyo,Apps,2,10,3,2017
1243,San Francisco,VR,7,7,4,2017
1244,San Francisco,VR,7,10,3,2017
1245,San Francisco,VR,7,10,4,2017
1246,San Francisco,VR,7,8,3,2017
1247,San Francisco,VR,7,10,3,2017
1248,San Francisco,VR,7,10,3,2017
1249,San Francisco,VR,7,9,3,2017
1250,Washington DC,"Apps, Explorer",6,8,4,2017
1251,Washington DC,Apps,6,8,3,2017
1252,Washington DC,Apps,6,9,2,2017
1253,Washington DC,"Apps, Explorer",6,7,3,2017
1254,Washington DC,"Apps, Explorer",6,7,4,2017
1255,New York City,Games,5,10,3,2017
1256,New York City,Apps,5,10,3,2017
1257,New York City,Apps,5,7,3,2017
1258,New York City,Games,5,10,3,2017
1259,New York City,Games,5,9,3,2017
1260,New York City,Apps,5,9,3,2017
1261,New York City,Apps,5,0,4,2017
1262,New York City,Apps,5,8,3,2017
1263,New York City,"Games, Explorer",5,10,3,2017
1264,New York City,"Apps, Explorer",5,8,4,2017
1265,New York City,"Games, Explorer",5,10,3,2017
1266,New York City,Apps,5,9,3,2017
1267,New York City,Apps,5,8,3,2017
1268,New York City,Apps,5,8,3,2017
1269,New York City,Apps,4,7,3,2017
1270,New York City,Games,5,9,3,2017
1271,New York City,Games,5,10,3,2017
1272,New York City,Apps,5,10,3,2017
1273,New York City,Apps,5,7,3,2017
1274,New York City,Apps,5,10,3,2017
1275,New York City,"Apps, Explorer",5,4,3,2017
1276,New York City,"Apps, Explorer",5,6,4,2017
1277,New York City,"Apps, Explorer",5,8,3,2017
1278,New York City,Games,5,9,3,2017
1279,New York City,"Apps, Explorer",5,10,3,2017
1280,New York City,Apps,5,5,3,2017
1281,,,5,10,3,2017
1282,New York City,Apps,5,7,3,2017
1283,New York City,Apps,5,8,3,2017
1284,New York City,"Games, Explorer",5,8,3,2017
1285,New York City,Games,5,10,3,2017
1286,New York City,Apps,5,5,3,2017
1287,New York City,"Games, Explorer",5,10,3,2017
1288,New York City,Apps,5,10,3,2017
1289,New York City,"Apps, Explorer",5,8,3,2017
1290,Chicago,Apps,7,9,4,2017
1291,Chicago,Apps,6,7,3,2017
1292,Chicago,"Apps, Explorer",5,8,3,2017
1293,Chicago,Apps,7,8,4,2017
1294,Chicago,Apps,7,10,3,2017
1295,Chicago,Apps,7,9,3,2017
1296,Chicago,Apps,7,10,3,2017
1297,Chicago,Apps,7,9,3,2017
1298,Oakland,Apps,7,9,3,2017
1299,Chicago,Apps,7,9,3,2017
1300,Chicago,"Apps, Explorer",7,7,3,2017
1301,Oakland,Apps,7,9,3,2017
1302,Redwood City,Apps,7,8,3,2017
1303,Oakland,Apps,7,7,4,2017
1304,Los Angeles,Apps,7,10,3,2017
1305,Los Angeles,Apps,7,8,3,2017
1306,Los Angeles,Games,7,7,4,2017
1307,Los Angeles,Apps,7,9,3,2017
1308,Los Angeles,Games,7,10,3,2017
1309,Santa Clara,Games,7,10,3,2017
1310,San Francisco,Apps,7,9,3,2017
1311,San Francisco,Apps,7,10,3,2017
1312,San Francisco,Apps,7,10,3,2017
1313,San Francisco,"Apps, Explorer",7,9,3,2017
1314,San Francisco,Apps,7,9,3,2017
1315,Santa Clara,Apps,7,10,3,2017
1316,Santa Clara,Apps,7,9,3,2017
1317,Santa Clara,Apps,7,7,4,2017
1318,Santa Clara,Apps,7,9,3,2017
1319,Santa Clara,Apps,7,8,5,2017
1320,Santa Clara,"Apps, Explorer",7,9,3,2017
1321,San Francisco,Apps,7,7,3,2017
1322,Santa Clara,Apps,7,10,3,2017
1323,Santa Clara,"Apps, Explorer",7,7,3,2017
1324,Santa Clara,Games,7,8,3,2017
1325,Los Angeles,Apps,7,10,3,2017
1326,San Francisco,Apps,7,9,3,2017
1327,Santa Clara,Apps,7,9,3,2017
1328,Santa Clara,Apps,7,9,3,2017
1329,Santa Clara,Apps,7,7,3,2017
1330,Santa Clara,Apps,7,9,4,2017
1331,Santa Clara,Apps,7,8,3,2017
